sheet,row,izhodisce,IŠČETE PREVOD ZA …?,STE MORDA MISLILI …?,NA PRIMER …,KAJ POMENI V SLOVENŠČINI …,STATUS ,FJK/ZKB,domača naloga,POVEZAVA,proposed_rule_id,proposed_triggers,review_reason
Abecedno,29,delo na zahtevo,lavoro a chiamata,"občasno, priložnostno, sezonsko delo",Veliko študentov se odloči za sezonsko / priložnostno / občasno delo med poletnimi počitnicami.,"Besedna zveza delo na zahtevo v slovenščini ni termin. Govorcem in govorkam, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",,,"moram preverit, kaj pravi slo zakonodaja",,paronym_delo_na_zahtevo,delo na zahtevo,source row has domača naloga/review note
Abecedno,31,dobro delo,buon lavoro!,srečno! uspešno delo (vam želim)!,Morate napisati seminarsko nalogo? Srečno!,"Samostalniška besedna zveza dobro delo se ne uporablja kot vzklik, voščilo; označuje zgolj vrsto ali kakovost dela.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_dobro_delo,dobro delo,source row has domača naloga/review note
Abecedno,34,doktoriranje,,doktorat,,,,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_doktoriranje,doktoriranje,source row has domača naloga/review note
Abecedno,46,intestirani papir,carta intestata,(uradni) papir podjetja/ustanove; papir z logotipom,Dopis pošljite na uradnem papirju.,/,,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_intestirani_papir,intestirani papir,source row has domača naloga/review note
Abecedno,47,javna dela,lavori pubblici,"javne ureditve (npr. urejanje zelenic)
javne infrastrukturne ureditve (npr. kanalizacija)
javna gradbena dela
javne gradnje (npr. gradnja objektov, cest)
javne investicije (splošno)",Občina je v proračunu predvidela višjo postavko za javne investicije.,"Slo javna dela = programi, namenjeni dolgotrajno brezposelnim osebam ali drugim ranljivim skupinam (ita 'lavori socialmente utili')",,x,"že obdelano, treba samo dopolnit",,paronym_javna_dela,javna dela,source row has domača naloga/review note
Abecedno,55,meja dolga,"limite di credito, fido","limit, dovoljena prekoračitev stanja","Presegel sem limit na svoji kartici, tako da moram poklicati banko.","Meja dolga se v slovenščini uporablja izključno v zvezi z zviševanjem pragu zadolženosti ZDA, ki ga mora periodično izglasovati ameriški kongres.",,ZKB,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_meja_dolga,meja dolga,source row has domača naloga/review note
Abecedno,62,narediti odmor,fare una pausa,"narediti pavzo, odpočiti si, vzeti si odmor / čas zase, privoščiti si odklop","Začeli smo lani marca, prišlo je poletje in zato smo naredili pavzo.","Besedna zveza narediti odmor pomeni za kratek čas (= odmor) prekiniti točno določeno dejavnost, npr. serijo vaj pri telovadbi.",,,ni končano!,,paronym_narediti_odmor,narediti odmor,source row has domača naloga/review note
Abecedno,64,ne hočem,non voglio,nočem,,"Glagoli biti, imeti in hoteti tvorijo zanikane oblike za sedanjik povednega naklona nisem, nisi, ni itd.; nimam, nimaš, nima itd.; nočem, nočeš, noče itd.",,,"zastavica ""ne+hoteti""",,paronym_ne_hočem,ne hočem,source row has domača naloga/review note
Abecedno,65,ne imeti volje,non avere voglia,"ne dati se (komu), ne biti (komu) do nečesa",Danes se mi nič ne da. Ni mi do tega.,"Slovenski leksem volja pomeni hotenje, željo oz. sposobnost hotenja (ita 'volontà'): močna volja = 'una grande forza di volontà'. ",,,"že obdelano, treba samo dopolnit",,paronym_ne_imeti_volje,ne imeti volje,source row has domača naloga/review note
Abecedno,77,ostati nazaj,rimanere indietro,"zaostajati, ne dohajati
rimanere indietro con gli impegni???","Ostali izletniki so stopali proti koči, mi pa smo zaostali.","besedna zveza ostati nazaj se uporablja izključno v lokalnem okolju; govorcem, ki ne znajo italijansko, pomen te besedne zveze ni jasen.",,,"že obdelano, treba samo dopolnit",,paronym_ostati_nazaj,ostati nazaj,source row has domača naloga/review note
Abecedno,82,položaj do nečesa,posizione su / riguardo a,"mnenje, stališče (o čem); odnos (do česa)",Stališča strank o volilnem sistemu so bolj ali manj znana. ,,,,"zastavica ""položaj do""",,paronym_položaj_do_nečesa,položaj do nečesa,source row has domača naloga/review note
Abecedno,90,prevzeti si,assumersi,"prevzeti odgovornost, nalogo; prevzeti pošiljko",Direktorica je prevzela odgovornost za napako. Nihče ni hotel prevzeti zahtevne naloge.,Slo prevzeti uporabljamo brez prostega morfema se/si.,,,"že obdelano, treba samo dopolnit",,paronym_prevzeti_si,prevzeti si,source row has domača naloga/review note
Abecedno,94,proč,,stran,,,,,iti proč,,paronym_proč,proč,source row has domača naloga/review note
Abecedno,96,prostovoljno dejanje,azione volontaria,"naklepno dejanje, namerno dejanje",Po tožilčevem mnenju je šlo za naklepno dejanje.,"Ita 'volontario' je večpomenski leksem. Slo leksem prostovoljen pomeni svoboden, ne pod prisilo, volonterski (npr. prostovoljno delo, ita 'volontariato'). ",,x,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_prostovoljno_dejanje,prostovoljno dejanje,source row has domača naloga/review note
Abecedno,103,refleks,riflesso,"odsev, odraz, izraz","Gledam odsev luči na steklu. Njegovo stališče je odraz okolja, v katerem je odraščal.","Ita 'riflesso' je večpomenski leksem. 
Slo refleks = nehoten odgovor na dražljaj: nagonski, pogojni, samozaščitni refleks.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_refleks,refleks,source row has domača naloga/review note
Abecedno,111,sile javnega reda,forze dell'ordine,varnostni organi; policija,Pri neredih je posegla policija.,Besedna zveza sile javnega reda kot sinonim za varnostnega organe/policijo je kalk iz ita 'forze dell'ordine (pubblico)' in se uporablja izključno v lokalnem okolju.,,x,"že obdelano, treba samo dopolnit",,paronym_sile_javnega_reda,sile javnega reda,source row has domača naloga/review note
Abecedno,118,sončno leto,anno solare,koledarsko leto,Dohodki so bili ustvarjeni v tem koledarskem letu.,"Beseda zveva sončno leto je kalk iz italijanščine 'anno solare'. Govorci in govorke, ki ne znajo italijansko, je ne razumejo.",,,"že obdelano, treba samo dopolnit",,paronym_sončno_leto,sončno leto,source row has domača naloga/review note
Abecedno,124,štiriročno,a quattro mani,"dva, dve / v dvoje / oba, obe",Pravilnik je bil napisan štiriročno. -> Pravilnik sta napisali dve članici društva. ,Leksem štiriročno se uporablja skoraj izključno na glasbenem področju (igranje klavirja štiriročno).,,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_štiriročno,štiriročno,source row has domača naloga/review note
Abecedno,128,težko mamilo,droga pesante,"trda droga, trdo mamilo","Skrb vzbujajoče je število odvisnikov od trdih drog.
Režim sponzorira kar 50 odstotkov svetovne produkcije najtrših mamil","Besedni zvezi težka droga ali težko mamilo sta v slo redki. Pogosteje (pribl. 13,5 : 1) se uporabljata besedni zvezi trda droga / trdo mamilo. ",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_težko_mamilo,težko mamilo,source row has domača naloga/review note
Abecedno,136,v osebi,in/di persona,"osebno, v živo, iz oči v oči","Največ bomo dosegli, če se oglasimo osebno.",,,,"bi dala samo ""v osebi""",,paronym_v_osebi,v osebi,source row has domača naloga/review note
Abecedno,137,v prisotnosti,in presenza,v živo,Tokrat se bomo po dolgem času sestali v živo.,"V slo se besedna zveva v prisotnosti uporablja v primerih kot ""mladoletni se lahko tekmovanja udeležijo zgolj v prisotnosti (= ob prisotnosti, navzočnosti) staršev"". ",,,"bi dala samo ""v prisotnosti""",,paronym_v_prisotnosti,v prisotnosti,source row has domača naloga/review note
Abecedno,141,ven iz glave,fuori di testa,"biti čudaški, nor; popeniti, ponoreti",,"Besedna zveza ven iz glave je kalk iz italijanščine ('fuori di testa') in se uporablja izključno v lokalnem okolju; govorcem, ki ne znajo italijansko, pomen te besedne zveze ni jasen",,,"že obdelano, treba samo dopolnit",,paronym_ven_iz_glave,ven iz glave,source row has domača naloga/review note
Abecedno,144,z upanjem,con la speranza,v upanju,V upanju na ugodno rešitev pošiljamo prijazen pozdrav.,"Dolge povedi, predvsem v dopisih, v slovenskem kulturnem prostoru niso pogoste. Svetujemo: Upamo na ugodno rešitev. Prijazen pozdrav.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_z_upanjem,z upanjem,source row has domača naloga/review note
Abecedno,149,zapuščanje šole,abbandono scolastico,"osip, izpis",Osip je ena največjih slabosti našega šolskega sistema.,"Zapuščanje šole ni termin, temveč besedna zveza, ki označuje odhajanje iz šolskega poslopja (V primeru požara čim prej zapustite poslopje.).",,x,"že obdelano, treba samo dopolnit",,paronym_zapuščanje_šole,zapuščanje šole,source row has domača naloga/review note
Abecedno,151,"zdole, zdol",,spodaj,,narečno,,,narečno,,paronym_zdole_zdol,zdole | zdol,source row has domača naloga/review note
Abecedno,152,zelena številka,numero verde,brezplačna številka,Za več informacij pokličite na brezplačno številko.,"Zelena številka je kalk iz italijanščine. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_zelena_številka,zelena številka,source row has domača naloga/review note
Abecedno,153,zeleni teden,,šola v naravi,Otroci se veselijo šole v naravi.,"Zeleni teden je dvakratni kalk: nastal je na podlagi besedne zveze beli teden, ki je kalk italijanske besedne zveze 'settimana bianca'. Govorci in govorke, ki ne znajo italijansko, njenega pomena ne razumejo.",,,"preveriti, če Loris to že pozna, sicer gre noter",,paronym_zeleni_teden,zeleni teden,source row has domača naloga/review note
